tracadora,obitos_inf,aih_inf,reg_sia_inf,mort_inf_100k_nv,mort_ic,inc_lit_por_100k_nv,fonte
Biotinidase (E88.9 TETO),71,0,0,0.91,0.71–1.15,1.7,~1:60.000 [VERIFICAR]
Fibrose_cistica,63,714,50826,0.81,0.62–1.04,12,~1:8.000 [VERIFICAR]
HAC,18,220,11471,0.23,0.14–0.37,8,~1:12.000 [VERIFICAR]
Gaucher_Fabry_NPC,10,23,69,0.13,0.06–0.24,NA,NA
Ciclo_ureia,8,14,135,0.1,0.04–0.20,3,~1:35.000 (grupo) [VERIFICAR]
Pompe,7,43,150,0.09,0.04–0.19,NA,NA
Hipotireoidismo_cong,6,51,38782,0.08,0.03–0.17,40,~1:2.500 [VERIFICAR]
MSUD,6,33,102,0.08,0.03–0.17,0.8,~1:130.000 [VERIFICAR]
Galactosemia,2,33,301,NA,N<5 (suprimido),2.5,~1:40.000 [VERIFICAR]
PKU,1,78,7063,NA,N<5 (suprimido),10,~1:10.000 [VERIFICAR]
MPS_I,0,6,54,NA,N<5 (suprimido),NA,NA
MPS_II,0,7,42,NA,N<5 (suprimido),NA,NA
MPS_outras,0,72,114,NA,N<5 (suprimido),NA,NA
