prefixo,subgrupo,etapa,eim,SIA_princ,SIH_princ,SIM_cbasica,SIH_inf,SIM_inf,SIH_inf_100k_nv,SIM_inf_100k_nv
E76,glicosaminoglicano_outros,Expandido,TRUE,39634,12608,78,117,1,1.15,0.01
P371,toxoplasmose_congenita,Expandido,FALSE,13468,9502,80,9461,64,93.07,0.82
E75,esfingolipidose_ne,Expandido,TRUE,48988,3650,271,34,12,0.33,0.15
G120,atrofia_muscular_espinhal,Expandido,TRUE,45612,3355,59,300,8,2.95,0.1
E740,glicogenose,Expandido,TRUE,4679,777,37,43,7,0.42,0.09
D81,imunodeficiencia_comb,Expandido,FALSE,9994,637,34,142,16,1.4,0.21
E711,acuduria_organica,Expandido,TRUE,529,411,11,28,1,0.28,0.01
E713,faod,Expandido,TRUE,1708,281,39,23,5,0.23,0.06
E722,ciclo_ureia,Expandido,TRUE,584,134,30,14,8,0.14,0.1
E710,aminoacidopatia_MSUD,Expandido,TRUE,660,88,10,33,6,0.32,0.08
E720,transporte_aminoacidos,Expandido,TRUE,783,85,23,10,1,0.1,0.01
E725,metab_glicina,Expandido,TRUE,212,60,42,9,0,0.09,0
E742,galactosemia,Expandido,TRUE,1125,47,3,33,2,0.32,0.03
E723,acuduria_organica,Expandido,TRUE,331,36,5,5,1,0.05,0.01
E721,homocistinuria,Expandido,TRUE,269,16,3,0,0,0,0
E724,metab_ornitina,Expandido,TRUE,60,15,2,5,2,0.05,0.03
D57,doenca_falciforme,Tradicional,FALSE,1181932,67229,1581,1884,28,18.53,0.36
E889,def_biotinidase_envelope,Tradicional,TRUE,0,27236,1450,2062,71,20.28,0.91
E84,fibrose_cistica,Tradicional,TRUE,568665,6444,826,714,63,7.02,0.81
E700,aminoacidopatia_PKU,Tradicional,TRUE,120295,1296,6,70,1,0.69,0.01
D56,talassemia,Tradicional,FALSE,35744,980,56,16,0,0.16,0
E250,hiperplasia_adrenal_cong,Tradicional,TRUE,58291,440,28,220,18,2.16,0.23
E031,hipotireoidismo_congenito,Tradicional,TRUE,136546,104,26,51,6,0.5,0.08
E701,aminoacidopatia_hiperfenil,Tradicional,TRUE,1105,95,0,8,0,0.08,0
