tracadora,pa_proc_id,nome_proc,registros,qtd_apr,valor_apr
TODAS,0604440014,"ALFADORNASE 2,5 MG (POR AMPOLA)",157594,3756895,0
TODAS,0301120048,ACOMPANHAMENTO DE PACIENTE COM HIPOTIREOIDISMO CONGENITO,118460,118216,3250940
TODAS,0604580029,PANCREATINA 25000 UI (POR CAPSULA),117048,31916479,61598804.46999534
TODAS,0604580010,PANCREATINA 10.000 UI (POR CAPSULA),84751,18835018,18458317.64000071
TODAS,0604060025,COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MAIOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE,83289,99310591,0
TODAS,0604810016,TOBRAMICINA 300MG/5 ML SOLUCAO INALATORIA (POR AMPOLA),42754,1067511,0
TODAS,0202110141,DOSAGEM DE CLORETO NO SUOR,35857,36502,5475300
TODAS,0604420013,"FLUDROCORTISONA 0,1 MG (POR COMPRIMIDO)",35084,1646163,0
TODAS,0302040021,ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS,32292,53564,252962.10000015053
TODAS,0604540060,TAFAMIDIS 20 MG CAPSULA,31035,835604,0
TODAS,0604240031,IMIGLUCERASE 400 U INJETAVEL (POR FRASCO-AMPOLA),28544,350240,0
TODAS,0301120013,ACOMPANHAMENTO DE PACIENTE COM FENILCETONURIA,27974,28011,770302.5
TODAS,0604860021,Elexacaftor 100 mg/tezacaftor 50 mg/ivacaftor 75 mg + ivacaftor 150 mg (por comprimido revestido),25197,1803502,0
TODAS,0604560010,PENICILAMINA 250 MG (POR CAPSULA),23252,2068843,20960202.82000015
TODAS,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,21507,21394,215611.91000000003
TODAS,0301120021,ACOMPANHAMENTO DE PACIENTE COM FIBROSE CISTICA,19527,19466,535315
TODAS,0301120064,ACOMPANHAMENTO EM SERVICO DE REFERENCIA EM TRIAGEM NEONATAL (SRTN) - HIPERPLASIA ADRENAL CONGENITA,13723,13710,377025
TODAS,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,11156,6431,3858600
TODAS,0604240082,GALSULFASE 1 MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML),10120,207322,0
TODAS,0301010196,AVALIACAO CLINICA PARA DIAGNOSTICO DE DOENCAS RARAS - EIXO I: 1-ANOMALIAS CONGENITAS OU DE MANI,9909,5711,4568800
TODAS,0604240023,ALFATALIGLICERASE 200 U INJETAVEL (POR FRASCO AMPOLA),9551,217121,0
TODAS,0604240074,IDURSULFASE ALFA 2 MG/ML SOLUCAO INJETAVEL (FRASCO DE 3 ML),9054,115632,0
TODAS,0301010315,TELECONSULTA POR PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),7925,7885,49675.50000000514
TODAS,0604630077,TRIENTINA 250 MG (POR CAPSULA),6804,641748,0
TODAS,0604860030,[VERIFICAR nome SIGTAP],6610,444161,0
TODAS,0604240090,ALFAELOSULFASE 1 MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML),6361,221019,0
TODAS,0604240066,"LARONIDASE 0,58 MG SOLUCAO INJETAVEL (FRASCO DE 5 ML)",5287,134743,0
TODAS,0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),4651,4810,31105.699999997792
TODAS,0202110036,DETECCAO MOLECULAR EM FIBROSE CISTICA (CONFIRMATORIO),4027,4027,265782
TODAS,0202080137,CULTURA PARA IDENTIFICACAO DE FUNGOS,3415,3426,14354.940000000404
Ciclo_ureia,0301010218,AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO,296,153,91800
Ciclo_ureia,0301010072,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,42,42,420
Ciclo_ureia,0205020054,ULTRASSONOGRAFIA DE APARELHO URINARIO,25,25,725.4000000000003
Ciclo_ureia,0202100154,DOSAGEM QUANTITATIVA DE AMINOACIDOS,21,21,0
Ciclo_ureia,0301060096,ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,15,15,165
Ciclo_ureia,0301060118,ACOLHIMENTO COM CLASSIFICACAO DE RISCO,13,13,0
Ciclo_ureia,0301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS,13,14,107.93999999999997
