subgrupo,registros,pseudo_estrita,pseudo_intermediaria,pseudo_frouxa,razao
fibrose_cistica,22996,3444,3273,3102,7.03
mucopolissacaridose,4620,1117,1078,1043,4.29
aminoacidopatia_PKU,3318,458,409,388,8.11
esfingolipidose_outras,1724,185,161,150,10.71
amiloidose_familiar,1273,151,127,106,10.02
hipotireoidismo_congenito,999,429,364,356,2.74
hiperplasia_adrenal_cong,902,135,124,117,7.27
metab_cobre,828,137,122,121,6.79
glicogenose,276,81,71,69,3.89
lipofuscinose_NCL,159,16,12,12,13.25
faod,154,37,30,28,5.13
galactosemia,112,30,28,27,4
aminoacidopatia_MSUD,96,24,22,21,4.36
deposito_lipidios,96,22,17,17,5.65
aminoacidopatia_tirosina,76,41,39,38,1.95
glicoproteinose,70,38,37,37,1.89
acuduria_organica,44,23,19,19,2.32
ciclo_ureia,42,18,17,17,2.47
transporte_aminoacidos,41,17,16,16,2.56
homocistinuria,37,NA,NA,NA,18.5
metab_frutose,27,9,7,7,3.86
porfiria,14,NA,NA,NA,4.67
porfiria_aguda,10,7,6,6,1.67
esfingolipidose_GM1,9,NA,NA,NA,2.25
esfingolipidose_GM2,6,NA,NA,NA,1.5
metab_glicina,4,NA,NA,NA,2
lesch_nyhan,2,NA,NA,NA,2
TOTAL (todos os subgrupos core),37935,6438,5995,5713,6.33
