tracadora,aih,aih_com_uti,pct_uti,perm_mediana,diarias_uti_mediana_entre_uti
TODAS (EIM principal),26023,1222,4.7,0,5
MPS_outras,8030,NA,NA,0,NA
Fibrose_cistica,6442,683,10.6,11,5
Gaucher_Fabry_NPC,3124,15,0.5,0,12
MPS_II,1803,NA,NA,0,NA
PKU,1391,89,6.4,3,3
MPS_I,1053,NA,NA,0,NA
Pompe,777,35,4.5,0,3
HAC,440,77,17.5,5,4
Tirosinemia,434,28,6.5,2,3.5
Wilson,156,13,8.3,4,5
Ciclo_ureia,134,33,24.6,6,5
PAF_TTR,115,NA,NA,0,NA
Hipotireoidismo_cong,104,18,17.3,5,8.5
MSUD,88,14,15.9,6,15
Galactosemia,47,7,14.9,9,4
Tay-Sachs,42,10,23.8,3.5,6
Homocistinuria,16,NA,NA,7,NA
Lesch_Nyhan,7,NA,NA,4,NA
